,ID,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,BoxOfficeNew
905,0,"Aisling Franciosi, Sam Claflin, Baykali Ganambarr, Damon Herriman",,,"Australia, USA, Canada",,Jennifer Kent,"Adventure, Drama, Thriller","Scottish Gaelic, Aboriginal, English",76,"Set in 1825, Clare, a young Irish convict woman, chases a British officer through the rugged Tasmanian wilderness, bent on revenge for a terrible act of violence he committed against her family. On the way she enlists the services of an Aboriginal tracker named Billy, who is also marked by trauma from his own violence-filled past.",https://m.media-amazon.com/images/M/MV5BNjVmZmY1NmQtMWNhZS00ZDUwLTk5ZTQtZGE4NWIyM2YwMDRiXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,IFC Films,R,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",29-Aug-19,TRUE,136 min,The Nightingale,movie,,Jennifer Kent,2018,tt4068576,7.2,"1,427",,
908,0,"Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller",Won 1 Oscar. Another 9 wins & 12 nominations.,,USA,20-Jan-98,Tom Shadyac,"Comedy, Romance, Sci-Fi",English,62,Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,https://m.media-amazon.com/images/M/MV5BMTcwODlmZDktNWRkOC00NTFlLTkyMjQtYWUxMzZkNDE4MGVmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Universal Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",28-Jun-96,TRUE,95 min,The Nutty Professor,movie,http://www.universalpictures.com/,"Jerry Lewis, Bill Richmond, David Sheffield (screenplay), Barry W. Blaustein (screenplay), Tom Shadyac (screenplay), Steve Oedekerk (screenplay)",1996,tt0117218,5.6,"102,651",,123309890
911,0,"Ondassyn Bessikbassov, Erbolat Toguzakov",4 nominations.,,Kazakhstan,,Ermek Tursunov,"Action, Adventure, Drama","Kazakh, Russian",,This is a survival story - a Hemingway's 'Old Man and the Sea' as if written for our days.,https://m.media-amazon.com/images/M/MV5BOTRmN2M4OTAtMWQ1MC00YTNiLTk0NzEtODBmMjE4NTBjZDhlXkEyXkFqcGdeQXVyMjAwMzU2MDY@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",8-Sep-14,TRUE,102 min,The Old Man,movie,,Ermek Tursunov,2012,tt2182115,7.2,576,,11277120
912,0,"Paul Hamy, João Pedro Rodrigues, Xelo Cagiao, Han Wen",14 wins & 27 nominations.,,"Portugal, France, Brazil",,João Pedro Rodrigues,"Adventure, Drama, Mystery","Portuguese, English, Mandarin, Mirandese, Latin",85,"Fernando, a solitary ornithologist, is looking for black storks when he is swept away by the rapids. Rescued by a couple of Chinese pilgrims, he plunges into an eerie and dark forest, trying to get back on his track.",https://m.media-amazon.com/images/M/MV5BNTY4ODY2OGUtYTc4OC00OTE5LWFhZTMtOGQ4ZmRmNTRiZjFlXkEyXkFqcGdeQXVyMTU2NjUwNTg@._V1_SX300.jpg,,Unrated,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",20-Oct-16,TRUE,117 min,The Ornithologist,movie,,João Pedro Rodrigues,2016,tt4929038,6.3,"2,385",,50511
914,0,"Nicki Bluhm, Caroline Dhavernas, Greg Dykstra",,,USA,,,"Animation, Short",,,A collection of the animated short films nominated for the 2017 Academy Awards.,https://m.media-amazon.com/images/M/MV5BZDNhOWIwMjUtYmE4NS00MTkxLTgzZjYtYTcwMGJmZDgyZTRkXkEyXkFqcGdeQXVyNjU2NTMxOTg@._V1_SX300.jpg,,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",8-Feb-17,TRUE,88 min,The Oscar Nominated Short Films 2017: Animation,movie,,,2017,tt6511760,7.3,185,,
915,0,,,,USA,,,Documentary,"English, Arabic, Greek, Dari",,Collective screening of the Academy Award nominated short films from the Documentary category for 2017.,https://m.media-amazon.com/images/M/MV5BNDYzNWE5ZTgtODFiYy00MmI5LWI2NGItY2Q5MTZkZGRhNTE5XkEyXkFqcGdeQXVyNjU2NTMxOTg@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",8-Feb-17,TRUE,154 min,The Oscar Nominated Short Films 2017: Documentary,movie,,,2017,tt6508018,8,18,,
916,0,,,,USA,,,Drama,"French, English, Hungarian, Spanish",,Collective screening of the Academy Award nominated short films from the Live Action category for 2017.,https://m.media-amazon.com/images/M/MV5BOTFhYTc1YWQtNTZmNi00MzJhLTg2ZDItNjE1ZTQzOWZkY2I0XkEyXkFqcGdeQXVyNjU2NTMxOTg@._V1_SX300.jpg,,R,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",8-Feb-17,TRUE,132 min,The Oscar Nominated Short Films 2017: Live Action,movie,,,2017,tt6507954,7.8,120,,
917,0,,,,USA,,,Animation,English,,An exclusive feature-length presentation showcasing this year's Oscar award nominees for Best Animated Short Film.,https://ia.media-imdb.com/images/M/MV5BMDdlYzIwMGQtZGUzZC00NGY1LThlNjMtZDU5YzY5MmQzOTBhXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",9-Feb-18,TRUE,83 min,The Oscar Nominated Short Films 2018: Animation,movie,,,2018,tt7980094,7.4,118,,
918,0,,,,USA,,,,,,An exclusive feature-length presentation showcasing this year's Oscar award nominees for Best Documentary Short Film.,https://m.media-amazon.com/images/M/MV5BMjU5MTVhZmQtZWYzMi00MzRmLWExZjYtYTU0ZWFmZjk1YjliXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",9-Feb-18,TRUE,178 min,The Oscar Nominated Short Films 2018: Documentary,movie,,,2018,tt7980050,7.6,16,,
919,0,,,,,,,Action,"English, British Sign Language, Swahili, Somali",,Collective screening of the Academy Award nominated short films from the Live Action category for 2018.,https://ia.media-imdb.com/images/M/MV5BNThiY2E0NzMtNWI2Yi00ZmZhLTkxNWQtYmVhNDZlMDY4OTkwXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_SX300.jpg,,R,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",9-Feb-18,TRUE,96 min,The Oscar Nominated Short Films 2018: Live Action,movie,,,2018,tt7935892,7.9,114,,
920,0,,,,USA,,,Short,,,"The nominees for Short Film (Live Action) are: DETAINMENT, FAUVE, MARGUERITE, MOTHER, and SKIN.",https://m.media-amazon.com/images/M/MV5BNmI2NzM0YWYtMDBhMC00NjUxLWEzYzgtYjdjZjc3ODcxNGZlXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",8-Feb-19,TRUE,,The Oscar Nominated Short Films 2019: Live Action,movie,,,2019,tt9684784,6.6,44,,
921,0,"Peter Sellers, Claudine Longet, Natalia Borisova, Jean Carson",,,USA,11-Dec-01,Blake Edwards,Comedy,"English, Italian, Russian, French, Chinese",,A clerical mistake results in a bumbling Indian film star being invited to an exclusive Hollywood party instead of being fired.,https://m.media-amazon.com/images/M/MV5BNDRhMzhjZmUtNTEzMy00MjRjLThhMjYtZmQ2MjAyOGI1N2Q4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,United Artists,PG,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",3-Apr-68,TRUE,99 min,The Party,movie,,"Blake Edwards (screenplay), Tom Waldman (screenplay), Frank Waldman (screenplay), Blake Edwards (story)",1968,tt0063415,7.6,"35,143",,4145
923,0,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz",2 wins & 1 nomination.,,France,9-Nov-99,Carl Theodor Dreyer,"Biography, Drama, History",French,,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Criterion Collection,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",25-Oct-28,TRUE,114 min,The Passion of Joan of Arc,movie,,"Joseph Delteil, Carl Theodor Dreyer",1928,tt0019254,8.2,"41,536",,21877
925,0,"Rüdiger Klink, Burghart Klaußner, Andrej Kaminsky, Jörg Schüttauf",13 wins & 10 nominations.,"$277,636 ",Germany,,Lars Kraume,"Biography, Drama, Thriller","German, English, Yiddish, Spanish",61,The story of the man who brought high-ranking German Nazi criminal Adolf Eichmann to justice.,https://m.media-amazon.com/images/M/MV5BNjFjOGRjYjgtNGJjYi00Njg2LTlkMTItYjg4NWQ5OTRmYTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,Westdeutscher Rundfunk,R,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",1-Oct-15,TRUE,105 min,The People vs. Fritz Bauer,movie,http://www.derstaatgegenfritzbauer.de/,"Lars Kraume (screenplay), Olivier Guez (screenplay), Brian Cordray (Story Consultant)",2015,tt4193400,7.1,"3,651",,288483
928,0,"Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien",3 wins & 4 nominations.,,"UK, USA",3-Oct-00,Jim Sharman,"Comedy, Musical",English,58,A newly engaged couple have a breakdown in an isolated area and must pay a call to the bizarre residence of Dr. Frank-N-Furter.,https://m.media-amazon.com/images/M/MV5BOGIzYjM3YzMtMjk5ZS00NDY2LTllMjEtNjYwZjhmMDNhMDBkXkEyXkFqcGdeQXVyODUzMjQxMTA@._V1_SX300.jpg,20th Century Fox,R,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",31-Aug-75,TRUE,100 min,The Rocky Horror Picture Show,movie,http://rockyhorror.co.uk/,"Richard O'Brien (original musical play), Jim Sharman (screenplay), Richard O'Brien (screenplay)",1975,tt0073629,7.4,"122,674",,112892319
931,0,"Tommy Wiseau, Juliette Danielle, Greg Sestero, Philip Haldiman",1 win.,,USA,17-Dec-05,Tommy Wiseau,Drama,English,9,"Johnny is a successful banker who lives happily in a San Francisco townhouse with his fiancée, Lisa. One day, inexplicably, she gets bored with him and decides to seduce his best friend, Mark. From there, nothing will be the same again.",https://m.media-amazon.com/images/M/MV5BYjEzN2FlYmYtNDkwMC00NGFkLWE5ODctYmE5NmYxNzE2MmRiXkEyXkFqcGdeQXVyMjMwODc5Mw@@._V1_SX300.jpg,Chloe Productions,R,"{'Source': 'Internet Movie Database', 'Value': '3.7/10'}",3-Mar-04,TRUE,99 min,The Room,movie,http://theroommovie.com/,Tommy Wiseau,2003,tt0368226,3.7,"73,663",,
934,0,"Shahab Hosseini, Taraneh Alidoosti, Mina Sadati, Babak Karimi",Won 1 Oscar. Another 9 wins & 19 nominations.,"$11,067 ","Iran, France",2-May-17,Asghar Farhadi,"Drama, Thriller","Persian, English",85,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",https://m.media-amazon.com/images/M/MV5BMTg2MTc0ODEwOV5BMl5BanBnXkFtZTgwNDAyOTY1MDI@._V1_SX300.jpg,Cohen Media Group,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",31-Aug-16,TRUE,124 min,The Salesman,movie,http://www.thesalesmanfilm.com/,Asghar Farhadi,2016,tt5186714,7.8,"42,860",,2402067
937,0,"Art LaFleur, Tom Guiry, Mike Vitar, Patrick Renna",1 win.,,USA,29-Jan-02,David Mickey Evans,"Comedy, Drama, Family, Sport",English,,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",https://m.media-amazon.com/images/M/MV5BODllYjM1ODItYjBmOC00MzkwLWJmM2YtMjMyZDU3MGJhNjc4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",7-Apr-93,TRUE,101 min,The Sandlot,movie,,"David Mickey Evans, Robert Gunter",1993,tt0108037,7.8,"72,462",,32434006
939,0,"Regina Casé, Michel Joelsas, Camila Márdila, Karine Teles",28 wins & 18 nominations.,,Brazil,12-Jan-16,Anna Muylaert,"Comedy, Drama",Portuguese,82,"When the estranged daughter of a hard-working live-in housekeeper suddenly appears, the unspoken class barriers that exist within the home are thrown into disarray.",https://m.media-amazon.com/images/M/MV5BMzU0MzE5Mjk3OF5BMl5BanBnXkFtZTgwMjM3NjQzNjE@._V1_SX300.jpg,Oscilloscope Laboratories,R,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",28-Aug-15,TRUE,112 min,The Second Mother,movie,http://thesecondmother.vhx.tv/,Anna Muylaert,2015,tt3742378,7.8,"11,063",,376986
942,0,"Sally Hawkins, Michael Shannon, Richard Jenkins, Octavia Spencer",Won 4 Oscars. Another 101 wins & 293 nominations.,"$57,393,976 ",USA,13-Mar-18,Guillermo del Toro,"Adventure, Drama, Fantasy, Romance, Thriller","English, American Sign Language, Russian, French",87,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",https://m.media-amazon.com/images/M/MV5BNGNiNWQ5M2MtNGI0OC00MDA2LWI5NzEtMmZiYjVjMDEyOWYzXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,Fox Searchlight Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",22-Dec-17,TRUE,123 min,The Shape of Water,movie,https://www.facebook.com/theshapeofwater/,"Guillermo del Toro (screenplay by), Vanessa Taylor (screenplay by), Guillermo del Toro (story by)",2017,tt5580390,7.3,"316,775",,63859435
945,0,"Marilyn Burns, Allen Danziger, Paul A. Partain, William Vail",1 win & 1 nomination.,,USA,13-Oct-93,Tobe Hooper,Horror,English,75,Two siblings and three of their friends en route to visit their grandfather's grave in Texas end up falling victim to a family of cannibalistic psychopaths And must survive the terrors of leatherface and his family.,https://m.media-amazon.com/images/M/MV5BZDI3OWE0ZWMtNGJjOS00N2E4LWFiOTAtZjQ4OTNiNzIwN2NkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Bryanston Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",4-Oct-74,TRUE,83 min,The Texas Chain Saw Massacre,movie,,"Kim Henkel (screenplay by), Tobe Hooper (screenplay by), Kim Henkel (story by)",1974,tt0072271,7.5,"122,474",,8025872
948,0,"Dennis Hopper, Caroline Williams, Jim Siedow, Bill Moseley",1 win & 1 nomination.,,USA,1-Aug-00,Tobe Hooper,"Comedy, Horror",English,42,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,https://m.media-amazon.com/images/M/MV5BMDNjNTg3MWUtNjUxNi00MzYxLWJmODctNTg0ZmI1Zjc2Y2Q0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Media Home Entertainment,Unrated,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",22-Aug-86,TRUE,101 min,The Texas Chainsaw Massacre 2,movie,,"L.M. Kit Carson, Tobe Hooper (film ""The Texas Chainsaw Massacre"")",1986,tt0092076,5.6,"24,948",,
951,0,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett",Won 3 Oscars. Another 12 wins & 5 nominations.,,USA,30-Sep-03,John Huston,"Adventure, Drama, Western","English, Spanish",98,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,WARNER BROTHERS PICTURES,Passed,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",24-Jan-48,TRUE,126 min,The Treasure of the Sierra Madre,movie,,"John Huston (screenplay), B. Traven (based on the novel by)",1948,tt0040897,8.2,"104,882",,215295
954,0,"Steve Coogan, Rob Brydon, Rebecca Johnson, Claire Keelan",,"$1,120,322 ",UK,12-Dec-17,Michael Winterbottom,"Comedy, Drama","English, Spanish",66,"Actors Steve Coogan and Rob Brydon embark on a six-part episodic road trip through Europe. This time they're in Spain, sampling the restaurants, eateries, and sights along the way.",https://m.media-amazon.com/images/M/MV5BZWY4ODYzMzYtN2I3Ny00NDkzLWFmNGQtZWVmZWNkYzU5ZjBkXkEyXkFqcGdeQXVyMzExMTY0MjU@._V1_SX300.jpg,IFC Films,Unrated,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",11-Aug-17,TRUE,108 min,The Trip to Spain,movie,http://www.ifcfilms.com/films/the-trip-to-spain,,2017,tt6193424,6.6,"4,114",,1157604
957,0,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel",Nominated for 5 Oscars. Another 5 wins & 2 nominations.,,"France, West Germany",28-Oct-97,Jacques Demy,"Drama, Musical, Romance","French, English",86,A young woman separated from her lover by war faces a life-altering decision.,https://m.media-amazon.com/images/M/MV5BZmMyNzg3MGYtZTllNS00MjVjLWI0NmQtMTZlNzBmZjBjZTZmXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,Zeitgeist Films,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",16-Dec-64,TRUE,91 min,The Umbrellas of Cherbourg,movie,,Jacques Demy (scenario and dialogue),1964,tt0058450,7.8,"20,926",,28030
960,0,"Kenneth Bock, Richard Everts, Raun Kaufman",,,USA,,Richard Everts,"Documentary, Biography, Family, News",English,,"Follow one man's 11,000 mile, 40 day journey across the American landscape to visit twenty families and individuals affected by autism while searching for answers for his own son. With ...",https://m.media-amazon.com/images/M/MV5BMTc0NDA3ODUwOV5BMl5BanBnXkFtZTcwNTQ0ODA0OQ@@._V1_SX300.jpg,The Tommy Foundation,,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",5-Apr-13,TRUE,93 min,The United States of Autism,movie,http://usofautism.com/,,2013,tt2276023,6.5,36,,100403
962,0,"Lucas Quintana, Martin Sheen, Jacqueline Duprey, Aris Mejias",,,"Puerto Rico, USA",,Julio Quintana,Drama,"English, Spanish",67,"Ten years after a tsunami destroyed a small-town elementary school with all the children inside, a young man builds a mysterious structure out of the school's remains, setting the town aflame with passions long forgotten.",https://m.media-amazon.com/images/M/MV5BNDEyMGViYjgtNjVkNi00NDhlLTg4OTEtOWI4NzdlNjZiNDNkXkEyXkFqcGdeQXVyMTY3NzkwODA@._V1_SX300.jpg,New Territory Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '5.3/10'}",16-Sep-16,TRUE,86 min,The Vessel,movie,,"Julio Quintana, Julio Quintana",2016,tt4083052,5.3,946,,151042
965,0,"Aaron Poole, Kenneth Welsh, Daniel Fathers, Kathleen Munroe",3 wins & 2 nominations.,,"Canada, USA, UK",22-Nov-16,"Jeremy Gillespie, Steven Kostanski","Horror, Mystery, Sci-Fi, Thriller",English,62,"Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures.",https://m.media-amazon.com/images/M/MV5BNzU0MzgxMjAtYjU0NC00ZWYyLTljZWUtNTRkNzBhZTYwYzY4XkEyXkFqcGdeQXVyMTM2MzgyOTU@._V1_SX300.jpg,SGL Entertainment,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",7-Apr-17,TRUE,90 min,The Void,movie,https://sglmoviestore.com/horror/the-void/,"Jeremy Gillespie, Steven Kostanski",2016,tt4255304,5.8,"25,817",,
967,0,"Do-won Kwak, Jung-min Hwang, Jun Kunimura, Woo-hee Chun",29 wins & 51 nominations.,"$785,405 ","South Korea, USA",4-Oct-16,Hong-jin Na,"Horror, Mystery, Thriller","Korean, Japanese",81,"Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter.",https://m.media-amazon.com/images/M/MV5BODkwMTgxNjA2NF5BMl5BanBnXkFtZTgwMDc0OTcwOTE@._V1_SX300.jpg,,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",3-Jun-16,TRUE,156 min,The Wailing,movie,,"Hong-jin Na (screenplay by), Hong-jin Na",2016,tt5215952,7.4,"36,898",,84933
970,0,"Glenn Close, Jonathan Pryce, Max Irons, Christian Slater",,,"UK, Sweden, USA",,Björn Runge,Drama,"English, Swedish",77,A wife questions her life choices as she travels to Stockholm to see her husband receive the Nobel Prize for Literature.,https://m.media-amazon.com/images/M/MV5BNzA2Yzk4YjItZmU5OS00ZjFjLTlkNTEtMzJjZDVlOGY0OWRlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,,R,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",28-Sep-18,TRUE,99 min,The Wife,movie,,"Jane Anderson (screenplay by), Meg Wolitzer (based on the novel ""The Wife"" by)",2017,tt3750872,7.2,"27,433",,786633
972,0,"Nakhane Touré, Bongile Mantsai, Niza Jay, Thobani Mseleni",19 wins & 16 nominations.,,"South Africa, Germany, Netherlands, France",,John Trengove,"Drama, Romance","Xhosa, Afrikaans, English",80,"Xolani, a lonely factory worker, travels to the rural mountains with the men of his community to initiate a group of teenage boys into manhood.",https://m.media-amazon.com/images/M/MV5BOWI5N2M1YTItZDA0Mi00YjA2LWJlYzItNjFhOTliN2NmYTk3XkEyXkFqcGdeQXVyMDYxMjcxMQ@@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",19-Apr-17,TRUE,88 min,The Wound,movie,,"John Trengove, Thando Mgqolozana, Malusi Bengu, John Trengove (based on a story by), Batana Vundla (based on a story by)",2017,tt6333070,6.7,"1,184",,30678
974,0,"Jessica Chastain, Johan Heldenbergh, Daniel Brühl, Timothy Radford",2 wins & 3 nominations.,"$17,407,536 ","Czech Republic, UK, USA",4-Jul-17,Niki Caro,"Biography, Drama, History, War","English, German, Hebrew",57,"The Zookeeper's Wife tells the account of keepers of the Warsaw Zoo, Antonina and Jan Zabinski, who helped save hundreds of people and animals during the German invasion.",https://m.media-amazon.com/images/M/MV5BNTY3YmZmYmMtZjc3Zi00N2VjLWE5ZGMtN2M0ODkzOGQ5M2UyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTk1MTQ3NDI@._V1_SX300.jpg,Focus Features,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",7-Apr-17,TRUE,127 min,The Zookeeper's Wife,movie,http://www.focusfeatures.com/thezookeeperswife/,"Angela Workman (screenplay), Diane Ackerman (based on the book by)",2017,tt1730768,7,"32,882",,17571660
977,0,"Eili Harboe, Kaya Wilkins, Henrik Rafaelsen, Ellen Dorrit Petersen",7 wins & 23 nominations.,"$147,112 ","Norway, France, Denmark, Sweden",3-Apr-18,Joachim Trier,"Drama, Fantasy, Horror, Mystery, Romance, Thriller","Norwegian, Swedish",74,A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.,https://m.media-amazon.com/images/M/MV5BMjk0NjI2MjM1NF5BMl5BanBnXkFtZTgwODc2NjU0MzI@._V1_SX300.jpg,The Orchard,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",15-Sep-17,TRUE,116 min,Thelma,movie,http://thelma.film/,"Eskil Vogt (screenplay), Joachim Trier (screenplay)",2017,tt6304046,7,"21,576",,147391
980,0,,,,"UK, New Zealand",,Peter Jackson,"Documentary, History, War",English,91,A documentary about World War I with never-before-seen footage to commemorate the centennial of the end of the war.,https://m.media-amazon.com/images/M/MV5BZWI3ZThmYzUtNDJhOC00ZWY4LThiNmMtZDgxNjE3Yzk4NDU1XkEyXkFqcGdeQXVyNTk5Nzg1NjQ@._V1_SX300.jpg,Warner Bros. Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '8.3/10'}",1-Feb-19,TRUE,99 min,They Shall Not Grow Old,movie,https://www.theyshallnotgrowold.film/,,2018,tt7905466,8.3,"17,852",,17956913
983,0,,1 nomination.,,USA,,Alexandra Shiva,Documentary,,64,Four Syrian families struggling to find their way in America.,https://m.media-amazon.com/images/M/MV5BMjExNDEyMTM2M15BMl5BanBnXkFtZTgwOTg2NDg1NDM@._V1_SX300.jpg,EPIX,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",6-Apr-18,TRUE,91 min,This Is Home: A Refugee Story,movie,,,2018,tt7689946,7.9,73,,3072605
986,0,"Olivia Cooke, Anya Taylor-Joy, Anton Yelchin, Paul Sparks",1 win & 7 nominations.,,USA,5-Jun-18,Cory Finley,"Comedy, Crime, Drama, Thriller",English,75,"Two upper-class teenage girls in suburban Connecticut rekindle their unlikely friendship after years of growing apart. Together, they hatch a plan to solve both of their problems-no matter what the cost.",https://m.media-amazon.com/images/M/MV5BNDcyNDA4NDAzN15BMl5BanBnXkFtZTgwODQxMDQ5NDM@._V1_SX300.jpg,Focus Features,R,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",9-Mar-18,TRUE,92 min,Thoroughbreds,movie,http://www.ThoroughbredsMovie.com,Cory Finley,2017,tt5649108,6.7,"26,507",,12320845
989,0,"Frances McDormand, Caleb Landry Jones, Kerry Condon, Sam Rockwell",Won 2 Oscars. Another 104 wins & 193 nominations.,"$52,000,189 ","UK, USA",27-Feb-18,Martin McDonagh,"Crime, Drama",English,88,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,https://m.media-amazon.com/images/M/MV5BMjMxNzgwMDUyMl5BMl5BanBnXkFtZTgwMTQ0NTIyNDM@._V1_SX300.jpg,Fox Searchlight Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",1-Dec-17,TRUE,115 min,"Three Billboards Outside Ebbing, Missouri",movie,http://www.foxsearchlight.com/threebillboardsoutsideebbingmissouri/,Martin McDonagh,2017,tt5027774,8.2,"357,347",,
992,0,"Robert Shafran, Michael Domnitz, Howard Schneider, Ellen Cervone",1 win & 3 nominations.,,UK,2-Oct-18,Tim Wardle,"Documentary, Biography, Drama, History, Mystery",English,81,"In 1980 New York, three young men who were all adopted meet each other and find out they're triplets who were separated at birth. But their quest to find out why turns into a bizarre and sinister mystery.",https://m.media-amazon.com/images/M/MV5BMTc0NWM3ZGItMzlmZC00NDRmLWJlZmUtMjkzZjNlYmNhYTc1XkEyXkFqcGdeQXVyNzgxMzYzNjA@._V1_SX300.jpg,NEON,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",30-Nov-18,TRUE,96 min,Three Identical Strangers,movie,http://www.threeidenticalstrangers.com/,Grace Hughes-Hallett (developed by),2018,tt7664504,7.7,"17,115",,
